ID,Fuente,URL,Fecha,Pais,Polaridad,Aspecto_Clave,Senal_Fraude,Texto_del_Comentario_resumido
C001,Shopify App Store (Dropify/Dropi),https://apps.shopify.com/dropify-5/reviews,2026-06-21,Colombia,Negativo,Logistica_Transportadoras,Retencion_de_fondos,"Reporta muchos problemas con las transportadoras y mal soporte, ahora le retienen dinero en la billetera de la plataforma por tener muchos pedidos en proceso y percibe que el servicio empeora."
C002,Shopify App Store (Dropify/Dropi),https://apps.shopify.com/dropify-5/reviews,2026-05-15,Colombia,Negativo,Logistica_Transportadoras,Ninguna,"Describe mil inconvenientes con transportadoras y afirma que se instauraron varias demandas ante la SIC porque Dropi como intermediario debe dar garantia, menciona saqueo de paquetes por una transportadora y demoras de mas de 15 dias con otra sin que nadie responda."
C003,Shopify App Store (Dropify/Dropi),https://apps.shopify.com/dropify-5/reviews,2026-04-08,Panama,Negativo,Estafas_Retencion,Cobro_de_servicio_no_prestado,"Afirma que la plataforma le robo: se cobra producto y envio pero la entrega nunca ocurre y el pedido queda como domicilio no encontrado, el cliente final dice que nunca fue contactado, el negocio pierde el envio y las comisiones de pasarela y el soporte cierra el chat sin resolver."
C004,Shopify App Store (Dropify/Dropi),https://apps.shopify.com/dropify-5/reviews,2026-05-09,Colombia,Negativo,Plataforma_Tecnica,Ninguna,Califica la app como pesima porque debe desinstalarla con frecuencia para que vuelva a funcionar.
C005,Shopify App Store (Dropify/Dropi),https://apps.shopify.com/dropify-5/reviews,2026-05-09,Colombia,Negativo,Logistica_Transportadoras,Ninguna,Afirma que las transportadoras nunca pasaron a recoger y que el servicio al cliente es muy malo aunque reconoce que podria ser una buena app si lo corrigen.
C006,Shopify App Store (Dropify/Dropi),https://apps.shopify.com/dropify-5/reviews,2026-02-12,Brasil,Negativo,Plataforma_Tecnica,Ninguna,"No logra abrir la aplicacion, muestra error y se queda cargando indefinidamente."
C007,Shopify App Store (Dropify/Dropi),https://apps.shopify.com/dropify-5/reviews,2025-09-30,Guatemala,Negativo,Plataforma_Tecnica,Ninguna,Sostiene que la app no funciona ni sincroniza los pedidos y que no recibe soporte.
C008,Shopify App Store (Dropify/Dropi),https://apps.shopify.com/dropify-5/reviews,2025-08-04,Colombia,Negativo,Plataforma_Tecnica,Ninguna,Opinion muy negativa: la aplicacion no sincroniza adecuadamente y la solucion por parte de la plataforma es lenta.
C009,Shopify App Store (Dropify/Dropi),https://apps.shopify.com/dropify-5/reviews,2025-03-08,Colombia,Negativo,Plataforma_Tecnica,Ninguna,Sostiene que la app funcionaba bien y una actualizacion la arruino: lo que antes era un clic ahora requiere seis pasos por cada producto y variante.
C010,Shopify App Store (Dropify/Dropi),https://apps.shopify.com/dropify-5/reviews,2024-07-05,Colombia,Negativo,Plataforma_Tecnica,Ninguna,"Reporta que dejo de sincronizar ventas y no permite importar manualmente por un error, el soporte no ayuda ni responde."
